Time CK_0003a CK_0003b CK_0004a CK_0004b CK_0005a CK_0005b CK_0006a CK_0006b CK_0007a CK_0007b CK_0008a CK_0008b CK_0009a CK_0009b CK_0010a CK_0010b CK_0011a CK_0011b driver_0002a driver_0002b out_out
1 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 8.329652e-03
2 -2 -2 -2 -2 -2 -2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -2 -2 -9.240000e-01 9.290000e-01 8.449046e-03
3 -2 -2 -2 -2 -2 -2 0 0 0 0 0 0 0 0 0 0 -2 -2 -9.240000e-01 9.290000e-01 8.367559e-03
4 -2 -2 -2 -2 -2 -2 1 1 1 1 1 1 1 1 1 1 -2 -2 -9.240000e-01 9.290000e-01 8.353420e-03
5 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 2 2 2 2 -2 -2 -9.240000e-01 9.290000e-01 8.263268e-03
6 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 2 2 2 2 -2 -2 -9.240000e-01 9.290000e-01 8.263265e-03
7 -1 -1 -1 -1 -1 -1 2 2 2 2 2 2 2 2 2 2 -1 -1 -9.240000e-01 9.290000e-01 1.676258e-02
8 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 0 0 -9.240000e-01 9.290000e-01 1.271065e-01
9 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 1 1 -9.240000e-01 9.290000e-01 1.060059e-01
10 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 3.651444e-02
11 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 3.651462e-02
12 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 2 2 -9.240000e-01 9.290000e-01 6.185431e-02
13 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 2 2 -9.240000e-01 9.290000e-01 5.980721e-02
14 2 2 2 2 2 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 2 2 -9.240000e-01 9.290000e-01 4.129323e-02
15 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 2 2 -9.240000e-01 9.290000e-01 2.070539e-02
16 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 2 2 -9.240000e-01 9.290000e-01 2.069758e-02
17 1 1 1 1 1 1 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 1 1 -9.240000e-01 9.290000e-01 1.115897e-01
18 0 0 0 0 0 0 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 0 0 -9.240000e-01 9.290000e-01 1.376262e-01
19 -1 -1 -1 -1 -1 -1 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -1 -1 -9.240000e-01 9.290000e-01 1.558209e-02
20 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 8.329652e-03
21 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 8.329439e-03
22 -2 -2 -2 -2 -2 -2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -2 -2 9.290000e-01 -9.240000e-01 8.451964e-03
23 -2 -2 -2 -2 -2 -2 0 0 0 0 0 0 0 0 0 0 -2 -2 9.290000e-01 -9.240000e-01 8.830741e-03
24 -2 -2 -2 -2 -2 -2 1 1 1 1 1 1 1 1 1 1 -2 -2 9.290000e-01 -9.240000e-01 8.823203e-03
25 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 2 2 2 2 -2 -2 9.290000e-01 -9.240000e-01 8.891723e-03
26 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 2 2 2 2 -2 -2 9.290000e-01 -9.240000e-01 8.891720e-03
27 -1 -1 -1 -1 -1 -1 2 2 2 2 2 2 2 2 2 2 -1 -1 9.290000e-01 -9.240000e-01 1.980693e-02
28 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 0 0 9.290000e-01 -9.240000e-01 1.188192e-01
29 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 1 1 9.290000e-01 -9.240000e-01 1.708205e-01
30 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 1.528673e-01
