Time CK_0003a CK_0003b CK_0004a CK_0004b CK_0005a CK_0005b CK_0006a CK_0006b CK_0007a CK_0007b CK_0008a CK_0008b CK_0009a CK_0009b CK_0011a CK_0011b CK_0012a CK_0012b CK_0013a CK_0013b CK_0014a CK_0014b CK_0015a CK_0015b CK_0016a CK_0016b CK_0017a CK_0017b CK_0018a CK_0018b CK_0019a CK_0019b CK_0020a CK_0020b CK_0021a CK_0021b CK_0022a CK_0022b CK_0023a CK_0023b driver_0010a driver_0010b driver_0024a driver_0024b out_o2 out_o
1 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 3.772787e-02 -2.245114e-02
2 -1 -1 -1 -1 -1 -1 -1 -1 -2 -2 -2 -2 -2 -2 -1 -1 -1 -1 -2 -2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 3.796716e-02 -2.238785e-02
3 0 0 0 0 0 0 0 0 -2 -2 -2 -2 -2 -2 0 0 0 0 -2 -2 0 0 0 0 0 0 0 0 0 0 0 0 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 3.790760e-02 -2.269440e-02
4 1 1 1 1 1 1 1 1 -2 -2 -2 -2 -2 -2 1 1 1 1 -2 -2 1 1 1 1 1 1 1 1 1 1 1 1 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 3.795345e-02 -2.273808e-02
5 2 2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 2 2 2 2 -2 -2 2 2 2 2 2 2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 3.799182e-02 -2.278986e-02
6 2 2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 2 2 2 2 -2 -2 2 2 2 2 2 2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 3.799182e-02 -2.278986e-02
7 2 2 2 2 2 2 2 2 -1 -1 -1 -1 -1 -1 2 2 2 2 -1 -1 2 2 2 2 2 2 2 2 2 2 2 2 -1 -1 -1 -1 -1 -1 -1 -1 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 1.305129e-01 -9.171872e-02
8 2 2 2 2 2 2 2 2 0 0 0 0 0 0 2 2 2 2 0 0 2 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 5.189195e-02 -2.840553e-01
9 2 2 2 2 2 2 2 2 1 1 1 1 1 1 2 2 2 2 1 1 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 7.625113e-02 -2.836736e-01
10 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 9.130050e-02 -2.929024e-01
