Time CK_0001a CK_0001b CK_0002a CK_0002b CK_0003a CK_0003b CK_0004a CK_0004b CK_0005a CK_0005b CK_0006a CK_0006b CK_0007a CK_0007b CK_0008a CK_0008b CK_0009a CK_0009b CK_0010a CK_0010b CK_0011a CK_0011b CK_0012a CK_0012b driver_0013a driver_0013b
1 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01
2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -1 -1 -1 -1 -1 -1 -1 -1 -9.240000e-01 9.290000e-01
3 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 0 0 0 0 0 0 0 0 -9.240000e-01 9.290000e-01
4 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 1 1 1 1 1 1 1 1 -9.240000e-01 9.290000e-01
5 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01
6 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01
7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01
9 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01
10 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01
11 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01
12 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 -9.240000e-01 9.290000e-01
13 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 -9.240000e-01 9.290000e-01
14 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -1 -1 -1 -1 -1 -1 -1 -1 -9.240000e-01 9.290000e-01
15 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01
16 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01
17 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01
