Time CK_0001a CK_0001b CK_0002a CK_0002b CK_0003a CK_0003b CK_0005a CK_0005b CK_0006a CK_0006b CK_0007a CK_0007b CK_0008a CK_0008b CK_0009a CK_0009b CK_0010a CK_0010b CK_0014a CK_0014b CK_0015a CK_0015b CK_0016a CK_0016b driver_0011a driver_0011b driver_0012a driver_0012b driver_0013a driver_0013b out_o
1 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 7.726238e-04
2 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -2 -2 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -2 -2 -2 -2 -2 -2 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 5.655923e-04
3 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -2 -2 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -2 -2 -2 -2 -2 -2 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 2.784611e-04
4 0 0 0 0 0 0 -2 -2 0 0 0 0 -2 -2 -2 -2 -2 -2 0 0 0 0 0 0 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -4.794629e-04
5 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 -2 -2 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 -2 -2 -2 -2 -2 -2 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -5.241704e-04
6 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 -2 -2 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 -2 -2 -2 -2 -2 -2 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -9.538164e-04
7 2 2 2 2 2 2 -2 -2 2 2 2 2 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -1.242815e-03
8 2 2 2 2 2 2 -2 -2 2 2 2 2 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -1.242816e-03
9 2 2 2 2 2 2 -2 -2 2 2 2 2 -1.333333e+00 -1.333333e+00 -2 -2 -2 -2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -1.064028e-03
10 2 2 2 2 2 2 -2 -2 2 2 2 2 -6.666667e-01 -6.666667e-01 -2 -2 -2 -2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -9.244817e-04
11 2 2 2 2 2 2 -2 -2 2 2 2 2 0 0 -2 -2 -2 -2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -9.081062e-04
12 2 2 2 2 2 2 -2 -2 2 2 2 2 6.666667e-01 6.666667e-01 -2 -2 -2 -2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -8.717440e-04
13 2 2 2 2 2 2 -2 -2 2 2 2 2 1.333333e+00 1.333333e+00 -2 -2 -2 -2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -8.373018e-04
14 2 2 2 2 2 2 -2 -2 2 2 2 2 2 2 -2 -2 -2 -2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -8.034348e-04
15 2 2 2 2 2 2 -2 -2 2 2 2 2 2 2 -2 -2 -2 -2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -8.034266e-04
16 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 -1.333333e+00 -1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 2 2 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -1.082796e-04
17 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 -6.666667e-01 -6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 2 2 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -1.114021e-02
18 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -8.395342e-02
19 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 6.666667e-01 6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 2 2 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -6.953024e-02
20 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 1.333333e+00 1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 2 2 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -5.443509e-02
21 -2 -2 -2 -2 -2 -2 2 2 -2 -2 -2 -2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 2.201851e-02
22 -2 -2 -2 -2 -2 -2 2 2 -2 -2 -2 -2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 2.202190e-02
23 -2 -2 -2 -2 -2 -2 2 2 -2 -2 -2 -2 1.333333e+00 1.333333e+00 2 2 2 2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 1.956077e-02
24 -2 -2 -2 -2 -2 -2 2 2 -2 -2 -2 -2 6.666667e-01 6.666667e-01 2 2 2 2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 1.503306e-02
25 -2 -2 -2 -2 -2 -2 2 2 -2 -2 -2 -2 0 0 2 2 2 2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 1.174260e-02
26 -2 -2 -2 -2 -2 -2 2 2 -2 -2 -2 -2 -6.666667e-01 -6.666667e-01 2 2 2 2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 1.837958e-02
27 -2 -2 -2 -2 -2 -2 2 2 -2 -2 -2 -2 -1.333333e+00 -1.333333e+00 2 2 2 2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 1.997334e-02
28 -2 -2 -2 -2 -2 -2 2 2 -2 -2 -2 -2 -2 -2 2 2 2 2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 2.104373e-02
29 -2 -2 -2 -2 -2 -2 2 2 -2 -2 -2 -2 -2 -2 2 2 2 2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 2.065024e-02
30 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 1.333333e+00 1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -2 -2 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 4.958025e-02
31 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 6.666667e-01 6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -2 -2 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 1.519576e-01
32 0 0 0 0 0 0 0 0 0 0 0 0 -2 -2 0 0 0 0 0 0 0 0 0 0 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 1.745543e-01
33 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 -6.666667e-01 -6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 -2 -2 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 1.098415e-02
34 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 -1.333333e+00 -1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 -2 -2 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 2.160133e-03
35 2 2 2 2 2 2 -2 -2 2 2 2 2 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 2.276535e-03
36 2 2 2 2 2 2 -2 -2 2 2 2 2 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 2.277370e-03
37 2 2 2 2 2 2 -2 -2 2 2 2 2 -1.333333e+00 -1.333333e+00 -2 -2 -2 -2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 2.128133e-03
38 2 2 2 2 2 2 -2 -2 2 2 2 2 -6.666667e-01 -6.666667e-01 -2 -2 -2 -2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 1.988699e-03
39 2 2 2 2 2 2 -2 -2 2 2 2 2 0 0 -2 -2 -2 -2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 1.837551e-03
40 2 2 2 2 2 2 -2 -2 2 2 2 2 6.666667e-01 6.666667e-01 -2 -2 -2 -2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 1.759474e-03
41 2 2 2 2 2 2 -2 -2 2 2 2 2 1.333333e+00 1.333333e+00 -2 -2 -2 -2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 1.669298e-03
42 2 2 2 2 2 2 -2 -2 2 2 2 2 2 2 -2 -2 -2 -2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 1.591805e-03
43 2 2 2 2 2 2 -2 -2 2 2 2 2 2 2 -2 -2 -2 -2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 1.591804e-03
44 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 -1.333333e+00 -1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 2 2 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 1.597137e-03
45 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 -6.666667e-01 -6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 2 2 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 1.177885e-02
46 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 1.736002e-01
47 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 6.666667e-01 6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 2 2 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 1.518521e-01
48 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 1.333333e+00 1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 2 2 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.154938e-02
49 -2 -2 -2 -2 -2 -2 2 2 -2 -2 -2 -2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 2.165106e-02
50 -2 -2 -2 -2 -2 -2 2 2 -2 -2 -2 -2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 2.164813e-02
51 -2 -2 -2 -2 -2 -2 2 2 -2 -2 -2 -2 1.333333e+00 1.333333e+00 2 2 2 2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 1.837746e-02
52 -2 -2 -2 -2 -2 -2 2 2 -2 -2 -2 -2 6.666667e-01 6.666667e-01 2 2 2 2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 1.388394e-02
53 -2 -2 -2 -2 -2 -2 2 2 -2 -2 -2 -2 0 0 2 2 2 2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 1.116833e-02
54 -2 -2 -2 -2 -2 -2 2 2 -2 -2 -2 -2 -6.666667e-01 -6.666667e-01 2 2 2 2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 1.793956e-02
55 -2 -2 -2 -2 -2 -2 2 2 -2 -2 -2 -2 -1.333333e+00 -1.333333e+00 2 2 2 2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 1.972750e-02
56 -2 -2 -2 -2 -2 -2 2 2 -2 -2 -2 -2 -2 -2 2 2 2 2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 2.063152e-02
57 -2 -2 -2 -2 -2 -2 2 2 -2 -2 -2 -2 -2 -2 2 2 2 2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 2.102687e-02
58 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 1.333333e+00 1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -2 -2 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 4.994085e-02
