Time CK_0001a CK_0001b CK_0002a CK_0002b CK_0003a CK_0003b CK_0004a CK_0004b driver_0006a driver_0006b out_out_y
1 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 7.598936e-04
2 -1 -1 -1 -1 -1 -1 -1 -1 -9.240000e-01 9.290000e-01 1.630235e-03
3 0 0 0 0 0 0 0 0 -9.240000e-01 9.290000e-01 1.732047e-01
4 1 1 1 1 1 1 1 1 -9.240000e-01 9.290000e-01 1.181830e-01
5 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 9.411896e-02
6 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 9.411988e-02
7 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 9.412065e-02
8 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 9.412131e-02
9 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 9.412186e-02
10 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 9.412234e-02
11 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 9.412274e-02
12 1 1 1 1 1 1 1 1 -9.240000e-01 9.290000e-01 1.181938e-01
13 0 0 0 0 0 0 0 0 -9.240000e-01 9.290000e-01 1.732047e-01
14 -1 -1 -1 -1 -1 -1 -1 -1 -9.240000e-01 9.290000e-01 1.639008e-03
15 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 7.598937e-04
16 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 7.598935e-04
17 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 7.598935e-04
18 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 7.598935e-04
19 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 7.598935e-04
20 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 7.598935e-04
21 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 7.994776e-04
22 -1 -1 -1 -1 -1 -1 -1 -1 9.290000e-01 -9.240000e-01 1.292307e-03
23 0 0 0 0 0 0 0 0 9.290000e-01 -9.240000e-01 -8.299408e-02
24 1 1 1 1 1 1 1 1 9.290000e-01 -9.240000e-01 -6.058343e-02
25 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -5.962180e-02
26 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -5.962264e-02
27 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -5.962343e-02
28 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -5.962418e-02
29 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -5.962488e-02
30 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -5.962554e-02
31 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -5.962616e-02
32 1 1 1 1 1 1 1 1 9.290000e-01 -9.240000e-01 -6.058344e-02
33 0 0 0 0 0 0 0 0 9.290000e-01 -9.240000e-01 -8.299324e-02
34 -1 -1 -1 -1 -1 -1 -1 -1 9.290000e-01 -9.240000e-01 1.283964e-03
35 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 7.994775e-04
36 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 7.994776e-04
37 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 7.994776e-04
38 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 7.994776e-04
39 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 7.994776e-04
40 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 7.994776e-04
