Time CK_0001a CK_0001b CK_0002a CK_0002b CK_0003a CK_0003b CK_0004a CK_0004b CK_0005a CK_0005b CK_0006a CK_0006b CK_0007a CK_0007b CK_0008a CK_0008b CK_0009a CK_0009b CK_0010a CK_0010b CK_0011a CK_0011b CK_0012a CK_0012b driver_0014a driver_0014b out_Out_y W_int W_ex W_clk W_TOT
1 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 8.416219e-01 -8.416124e-01 2.304256e-02 -0.000000 0.318129 101.699114 0.000000 -276338.298797
2 0 0 0 0 0 0 0 0 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 8.416219e-01 -8.416124e-01 2.304255e-02 -0.000000 0.318129 101.699114 0.000000 -276338.298797
3 2 2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 8.416219e-01 -8.416124e-01 2.304255e-02 -0.000000 0.318129 101.699114 0.000000 -276338.298797
4 2 2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 8.416219e-01 -8.416124e-01 2.304255e-02 -0.000000 0.318129 101.699114 0.000000 -276338.298797
5 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 -2 -2 -2 -2 -2 -2 -2 -2 8.416219e-01 -8.416124e-01 2.304255e-02 -0.000000 0.318129 101.699114 0.000000 -276338.298797
6 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -2 -2 8.416219e-01 -8.416124e-01 2.304255e-02 -0.000000 0.318129 101.699114 0.000000 -276338.298797
7 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -2 -2 8.416219e-01 -8.416124e-01 2.304255e-02 -0.000000 0.318129 101.699114 0.000000 -276338.298797
8 0 0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 8.416219e-01 -8.416124e-01 2.304255e-02 -0.000000 0.318129 101.699114 0.000000 -276342.967439
9 -2 -2 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 8.416219e-01 -8.416124e-01 2.304255e-02 -0.000000 0.318129 101.699114 -0.000000 -276347.636082
10 -2 -2 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 8.416219e-01 -8.416124e-01 2.304255e-02 -0.000000 0.318129 101.699114 -0.000000 -276347.636082
