% Model:              Progetto_mns.mph
% Version:            COMSOL 5.2.1.262
% Date:               Jul 7 2017, 16:05
% Table:              w8nm - Punto di interesse (Trench_height, Trench_width, es.Ex, es.Ey, es.Ex/es.normE, es.Ey/es.normE, up_voltage)
% Voltage (V)            Trench Height (nm)       Trench Width (nm)        Ex (V/nm)                Ey (V/nm)                Ex norm                  Ey norm
-2                       6.8                      7.999999999999999        -9.627474453544618E-6    0.23606391498080095      -4.078333695398435E-5    0.9999999723493529
-1.75                    6.8                      7.999999999999999        -8.424040145969391E-6    0.20655592560820019      -4.078333694971372E-5    0.9999999723493528
-1.5                     6.8                      7.999999999999999        -7.2206058419227605E-6   0.17704793623559842      -4.078333696394996E-5    0.9999999723493529
-1.25                    6.8                      7.999999999999999        -6.017171533870698E-6    0.1475399468629998       -4.0783336956731694E-5   0.9999999723493527
-1                       6.8                      7.999999999999999        -4.813737226772309E-6    0.11803195749040048      -4.078333695398435E-5    0.9999999723493529
-0.75                    6.8                      7.999999999999999        -3.6103029209613803E-6   0.08852396811779921      -4.078333696394996E-5    0.9999999723493529
-0.5                     6.8                      7.999999999999999        -2.4068686133861544E-6   0.05901597874520024      -4.078333695398435E-5    0.9999999723493529
-0.25                    6.8                      7.999999999999999        -1.2034343066930772E-6   0.02950798937260012      -4.078333695398435E-5    0.9999999723493529
0.25                     6.8                      7.999999999999999        1.2034343066930772E-6    -0.02950798937260012     4.078333695398435E-5     -0.9999999723493529
0.5                      6.8                      7.999999999999999        2.4068686133861544E-6    -0.05901597874520024     4.078333695398435E-5     -0.9999999723493529
0.75                     6.8                      7.999999999999999        3.6103029209613803E-6    -0.08852396811779921     4.078333696394996E-5     -0.9999999723493529
1                        6.8                      7.999999999999999        4.813737226772309E-6     -0.11803195749040048     4.078333695398435E-5     -0.9999999723493529
1.25                     6.8                      7.999999999999999        6.017171533870698E-6     -0.1475399468629998      4.0783336956731694E-5    -0.9999999723493527
1.5                      6.8                      7.999999999999999        7.2206058419227605E-6    -0.17704793623559842     4.078333696394996E-5     -0.9999999723493529
1.75                     6.8                      7.999999999999999        8.424040145969391E-6     -0.20655592560820019     4.078333694971372E-5     -0.9999999723493528
2                        6.8                      7.999999999999999        9.627474453544618E-6     -0.23606391498080095     4.078333695398435E-5     -0.9999999723493529
